"COD_EMPRESA","NUM_PEDIDO","NUM_SEQUENCIA","DEN_TEXTO_1","DEN_TEXTO_2","DEN_TEXTO_3","DEN_TEXTO_4","DEN_TEXTO_5"
"01",27448,1," - INOX 316L - 50KG - ÿ375 X 58                                             ",(null),(null),(null),(null)
"01",227,1,"290 METROS DE PASSADICO LATERAL DOS EQUIPTOS DO LAY-OUT N∫ PB-100184        ",(null),(null),(null),(null)
"01",227,0,"1) SUBSTITUICAO DOS SUPORTES DE CORRIMAO DOS EQUIPAMENTOS CONTEMPLADOS NO   ","LAY-OUT DE INSTALACAO N∫ PB-100184.                                         ","2) COMPLEMENTACAO EM 290 METROS DE PASSADICO LATERAL COM RODAPE DE 200 MM.  ",(null),(null)
"01",8890,0,"1) AS QUANTIDADES INFORMADAS SAO NECESSARIAS PARA A FORMACAO DE 01 JOGO PARA"," O REMCO 800                                                                ",(null),(null),(null)
"01",20537,1," TARUGO (CILINDRO) PARA QUEBRA DE MATACO PESO 3.000 KG                      ",(null),(null),(null),(null)
"01",19022,0,"OS PRE«OS FORAM CALCULADOS PARA O ICMS DE 7 %                               ",(null),(null),(null),(null)
"01",27448,2," - INOX 316L - 35KG - ÿ293 X 251 X 250                                      ",(null),(null),(null),(null)
"01",14591,0,"**PROGRAMACAO ANUAL PARA EQUIP OM100, EM CASO DE NECESSIDADE DE ANTECIPACAO ","OU POSTERGACAO DA ENTREGA OU ALTERACAO DE QUANTIDADES, O MESMO DEVERA SER   ","INFORMADO COM 15 DIAS DE ANTECEDENCIA AO EMBARQUE PREVISTO.***              ",(null),(null)
"01",8961,0,"1) PRAZO DE ENTREGA: IMEDIATO                                               ",(null),(null),(null),(null)
"01",20145,1,"MANTA GROSSA HP 100                                                         ",(null),(null),(null),(null)
"01",20145,2," REVESTIMENTO GROSSO HP 100                                                 ",(null),(null),(null),(null)
"01",20145,3,"ANEL DE CORTE HP 100                                                        ",(null),(null),(null),(null)
"01",8129,0,"1) COMPOSTO POR: 01 ESTRUTURA DO TAMBOR DE RETORNO CL-0012, 02 EIXO DO TAMB ","OR DE RETORNO CL-0013 E 02 TAMBOR DE RETORNO CL-0014.                       ",(null),"2) OS TAMBORES DE RETORNO SERAO ASSENTADOS SOBRE ROLAMENTOS 21315 CCK/W33 C3"," E MONTADOS EM MANCAL SN 615.                                               "
"01",18817,5,(null),(null),(null),(null),(null)
"01",18817,3,"ANEL CORTE COD. N 12080210 T 0109                                           ",(null),(null),(null),(null)
"01",10388,0,"1) PRAZO DE ENTREGA: 60 DIAS A CONTAR DA DATA DA CONFIRMA«√O DO PEDIDO      ",(null),(null),(null),(null)
"01",10388,1,"REFER NCIA SANDVIK: 442.7989                                                ",(null),(null),(null),(null)
